Set	Line	KO	Gene	Sign
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RCAN2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADM2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CRTAP	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LXN	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GATA3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NHSL1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ITGA6	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MURC	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SULF2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ECHDC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SIGLECG	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CSRP2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CTPS2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MMP10	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FAM198B	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL6A1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CHRND	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NPHP1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CDH5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PTK7	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ASIC1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FLRT3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HTATIP2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL3A1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CCDC184	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DPYSL3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HMOX1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CTSO	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COL4A2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CENPI	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ACKR3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CX3CL1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TCP11X2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ITGA10	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZFP518A	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	COPZ2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NCK2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CACNA2D1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IGF2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	4930523C07RIK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PLPP3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	STBD1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PTK2B	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	BST1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IGF2BP3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AKR1C12	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ALDH1L2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AI607873	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SYNE1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NABP1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GAS2L1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MARCKS	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MORN4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CLEC14A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	KDELR3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SIRPA	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GM5622	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SDC1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	1700049G17RIK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	BRINP3	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PRL2C2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ELOVL4	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MRPS6	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FABP5	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	VEGFC	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CD74	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GM13889	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZFP422	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RPL36A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RASSF6	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZFP820	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZDHHC8	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SLC35G1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PCYT1B	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SYT8	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GM41	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NRP1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RIMBP2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NTN1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CCBL2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SOD3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CLIP3	1
